acquisitive	adquisitivo (adj) 
acre	acre (n.m) 
acrobat	acróbata (n.mf) 
acrobatics	acrobacia (n.f) 
acromion	acromion (n.m) 
acronym	acrónimo (n.m) 
acronym	sigla (n.f) 
acrosomal	acrosomal (adj.mf) 
acrosome	acrosoma (n.m) 
across	a_través_de (pr) 
act	acto (n.m) 
act	actuar (vblex) 
actin	actina (n.f) 
acting	suplente (adj.mf) 
actinide	actínido (n.m) 
actinium	actinio (n.m) 
action	acción (n.f) 
active	activo (adj) 
actively	activamente (adv) 
activism	activismo (n.m) 
activist	activista (n.mf) 
activity	actividad (n.f) 
act	ley (n.f) 
act#_of_God	caso_fortuito (n.m) 
act#_of_nature	caso_fortuito (n.m) 
actor	actor (n.m) 
actress	actriz (n.f) 
actuality	actualidad (n.f) 
actually	de_hecho (adv) 
actual	real (adj.mf) 
actuarial	actuarial (adj.mf) 
actuate	activar (vblex) 
actuator	accionador (n.m) 
actuator	actuador (n.m) 
Acucio (np) 	Acucio (np.ant) 
acuity	acuidad (n.f) 
acupuncture	acupuntura (n.f) 
acute	agudo (adj) 
acutely	intensamente (adv) 
acutely	profundamente (adv) 
acyclic	acíclico (adj) 
adage	adagio (n.m) 
Adaiana (np) 	Adaiana (np.ant) 
Adalberto (np) 	Adalberto (np.ant) 
Adalfieri (np) 	Adalfieri (np.ant) 
Adalgisa (np) 	Adalgisa (np.ant) 
Adalguisa (np) 	Adalguisa (np.ant) 
Adalia (np) 	Adalia (np.ant) 
Adalina (np) 	Adalina (np.ant) 
Adalino (np) 	Adalino (np.ant) 
Adam	Adam (np) 
Adam (np) 	Adam (np.ant) 
Adams (np) 	Adams (np.cog.mf) 
Adan (np) 	Adan (np.ant) 
Adán (np) 	Adán (np.ant) 
Ada (np) 	Ada (np.ant) 
ad	anuncio (n.m) 
adaptability	adaptabilidad (n.f) 
adaptable	adaptable (adj.mf) 
adapt	adaptar (vblex) 
adapt	adecuar (vblex) 
adaptation	adaptación (n.f) 
adaptative	adaptativo (adj) 
adapter	adaptador (n.m) 
Adara (np) 	Adara (np.ant) 
Adauco (np) 	Adauco (np.ant) 
add	agregar (vblex) 
add	añadir (vblex) 
addend	sumando (n.m) 
addendum	adenda (n.f) 
addict	adicto (n) 
addict	adicto (n.GD) 
addiction	adicción (n.f) 
Addison (np) 	Addison (np.ant) 
addition	adición (n.f) 
additional	adicional (adj.mf) 
additionally	además (adv) 
addition	añadido (n) 
additive	aditivo (adj) 
additive	aditivo (n.m) 
addressable	direccionable (adj.mf) 
address	abordar (vblex) 
address	direccionar (vblex) 
address	dirección (n.f) 
address	dirigir (vblex) 
addressee	destinatario (n) 
addressee	destinatario (n.GD) 
add	sumar (vblex) 
adduce	aducir (vblex) 
Adelaida (np) 	Adelaida (np.ant) 
Adelaide (np) 	Adelaide (np.ant) 
Adélaïde (np) 	Adélaïde (np.ant) 
Adelais (np) 	Adelais (np.ant) 
Adela (np) 	Adela (np.ant) 
Adelardo (np) 	Adelardo (np.ant) 
Adelberot (np) 	Adelberot (np.ant) 
Adelen (np) 	Adelen (np.ant) 
Adèle (np) 	Adèle (np.ant) 
Adelfa (np) 	Adelfa (np.ant) 
Adelfo (np) 	Adelfo (np.ant) 
Adelia (np) 	Adelia (np.ant) 
Adélie (np) 	Adélie (np.ant) 
Adelina (np) 	Adelina (np.ant) 
Adeline (np) 	Adeline (np.ant) 
Adelino (np) 	Adelino (np.ant) 
Adelio (np) 	Adelio (np.ant) 
Adelita (np) 	Adelita (np.ant) 
Adelle (np) 	Adelle (np.ant) 
Adelma (np) 	Adelma (np.ant) 
Adelmar (np) 	Adelmar (np.ant) 
Adelmira (np) 	Adelmira (np.ant) 
Adelmo (np) 	Adelmo (np.ant) 
Adelphe (np) 	Adelphe (np.ant) 
Adelqui (np) 	Adelqui (np.ant) 
Adelquis (np) 	Adelquis (np.ant) 
Ademar (np) 	Ademar (np.ant) 
Ademaro (np) 	Ademaro (np.ant) 
adenine	adenina (n.f) 
Aden (np) 	Aden (np.ant) 
adenoma	adenoma (n.m) 
adenopathy	adenopatía (n.f) 
adenosine	adenosina (n.f) 
adenosine_triphosphate	adenosín_trifosfato (n.m) 
adequate	adecuado (adj) 
adequately	adecuadamente (adv) 
Aderito (np) 	Aderito (np.ant) 
a (det.ind) 	uno (det.ind.f.sg) 
a (det.ind) 	uno (det.ind.m.sg) 
Adgardo (np) 	Adgardo (np.ant) 
Adhemar (np) 	Adhemar (np.ant) 
adherent	partidario (n) 
adherent	partidario (n.GD) 
adhesion	adhesión (n.f) 
adhesive	adhesivo (adj) 
ad_hoc	ad_hoc (adj.mf.sp) 
adiabatic	adiabático (adj) 
Adiberto (np) 	Adiberto (np.ant) 
Adib (np) 	Adib (np.ant) 
Adiel (np) 	Adiel (np.ant) 
adimensional	adimensional (adj.mf) 
ad_infinitum	ad_infinitum (adv) 
adios	adiós (ij) 
adipocyte	adipocito (n.m) 
adipose	adiposo (adj) 
Adirano (np) 	Adirano (np.ant) 
Aditya (np) 	Aditya (np.ant) 
adjacent	adyacente (adj.mf) 
adjectival	adjetival (adj.mf) 
adjectivalisation	adjetivación (n.f) 
adjective	adjetivo (n.m) 
adjudication	adjudicación (n.f) 
adjudicator	adjudicatario (n) 
adjudicator	adjudicatario (n.GD) 
adjust	ajustar (vblex) 
adjustment	ajustamiento (n.m) 
adjustment	graduación (n.f) 
ad-lib	ad-lib (adv) 
administer	administrar (vblex) 
administration	administración (n.f) 
administrative	administrativo (adj) 
administrator	administrador (n) 
administrator	administrador (n.GD) 
admirable	admirable (adj.mf) 
admirably	admirablemente (adv) 
admiral	almirante (n.mf) 
admiration	admiración (n.f) 
admire	admirar (vblex) 
admissible	admisible (adj.mf) 
admit	admitir (vblex) 
admonish	amonestar (vblex) 
admonitory	admonitorio (adj) 
ad_nauseam	ad_nauseam (adv) 
adolescence	adolescencia (n.f) 
Adolfina (np) 	Adolfina (np.ant) 
Adolf (np) 	Adolf (np.ant) 
Adolfo (np) 	Adolfo (np.ant) 
Adolpho (np) 	Adolpho (np.ant) 
Adonaí (np) 	Adonaí (np.ant) 
Adona (np) 	Adona (np.ant) 
Adonay (np) 	Adonay (np.ant) 
Adoncia (np) 	Adoncia (np.ant) 
Adone (np) 	Adone (np.ant) 
Adonías (np) 	Adonías (np.ant) 
Adonis (np) 	Adonis (np.ant) 
Ado (np) 	Ado (np.ant) 
adopt	adoptar (vblex) 
adoption	adopción (n.f) 
adoptive	adoptivo (adj) 
Adoracion (np) 	Adoracion (np.ant) 
Adoración (np) 	Adoración (np.ant) 
Adora (np) 	Adora (np.ant) 
adoration	adoración (n.f) 
adore	adorar (vblex) 
Adoria (np) 	Adoria (np.ant) 
adorn	adornar (vblex) 
ADP	ADP (n.acr.m) 
Adra (np) 	Adra (np.ant) 
adrenaline	adrenalina (n.f) 
adret	solana (n.f) 
Adrià	Adrià (np) 
Adriana	Adriana (np) 
Adriana (np) 	Adriana (np.ant) 
Adrianna (np) 	Adrianna (np.ant) 
Adrian (np) 	Adrian (np.ant) 
Adrián (np) 	Adrián (np.ant) 
Adriano (np) 	Adriano (np.ant) 
Adria (np) 	Adria (np.ant) 
adriatic	adriático (adj) 
Adriel (np) 	Adriel (np.ant) 
Adrienne (np) 	Adrienne (np.ant) 
Adrien (np) 	Adrien (np.ant) 
adsorption	adsorción (n.f) 
adulate	adular (vblex) 
adulation	adulación (n.f) 
adult	adulto (n) 
adult	adulto (n.GD) 
adulterate	adulterar (vblex) 
adulteration	adulteración (n.f) 
adulterous	adúltero (adj) 
adultery	adulterio (n.m) 
advance	adelantar (vblex) 
advance	adelanto (n.m) 
advance	avance (n.m) 
advance	avanzar (vblex) 
advancement	adelanto (n.m) 
